diseases,medication
gastroesophageal reflux disease (gerd),"omeprazole, pantoprazole,ranitidine"
vitreous hemorrhage,"anti-VEGF (if diabetic), surgery"
poisoning due to antimicrobial drugs,"supportive, activated charcoal"
open wound of the mouth,"antibiotics (amoxicillin), analgesics,chlorhexidine rinse"
scleroderma,"prednisone, methotrexate,bosentan (pulmonary)"
myasthenia gravis,"pyridostigmine, prednisone,azathioprine"
hypoglycemia,"glucose (oral/IV), glucagon"
idiopathic absence of menstruation,"combined oral contraceptives, progesterone"
dislocation of the ankle,"acetaminophen, ibuprofen,opioid short-term,reduction"
carbon monoxide poisoning,"100% oxygen, hyperbaric oxygen"
panic attack,"alprazolam, lorazepam,sertraline (preventive)"
plantar fasciitis,"ibuprofen, acetaminophen,corticosteroid injection"
hyperopia,no medication (glasses)
poisoning due to sedatives,"supportive, flumazenil (benzodiazepine)"
pemphigus,"prednisone, rituximab,azathioprine"
peyronie disease,"pentoxifylline, verapamil injection,colchicine"
hiatal hernia,"omeprazole, ranitidine,surgery if severe"
extrapyramidal effect of drugs,"benztropine, diphenhydramine"
meniere disease,"betahistine, meclizine,diuretics (hydrochlorothiazide)"
anal fissure,"nitroglycerin ointment, diltiazem cream,lidocaine"
allergy,"loratadine, cetirizine,fexofenadine,montelukast"
chronic otitis media,"ofloxacin ear drops, ciprofloxacin + dexamethasone"
fracture of the finger,"acetaminophen, ibuprofen,opioid short-term"
hirschsprung disease,"antibiotics (if enterocolitis), surgery primary"
polymyalgia rheumatica,"prednisone, methotrexate"
lymphedema,"diuretics (limited), compression (no drug)"
bladder cancer,"gemcitabine + cisplatin, BCG intravesical"
acute bronchospasm,"albuterol, ipratropium,prednisone"
acute glaucoma,"acetazolamide, timolol eye drops,mannitol IV"
open wound of the chest,"antibiotics (cephalexin), tetanus toxoid"
dislocation of the patella,"acetaminophen, ibuprofen,opioid short-term,reduction"
sciatica,"ibuprofen, gabapentin,pregabalin,prednisone (short)"
hypercalcemia,"zoledronic acid, calcitonin,hydration"
stress incontinence,"duloxetine, estrogen cream (postmenopausal)"
varicose veins,"horse chestnut extract (limited), compression (no drug)"
benign kidney cyst,no medication (aspiration if symptomatic)
hydrocele of the testicle,"antibiotics if infected, surgery primary"
degenerative disc disease,"ibuprofen, gabapentin,epidural steroid"
hirsutism,"combined oral contraceptives, spironolactone,finasteride"
dislocation of the foot,"acetaminophen, ibuprofen,opioid short-term"
hydronephrosis,"antibiotics (if infection), tamsulosin"
diverticulosis,"antibiotics (if diverticulitis), fiber supplements"
pain after an operation,"acetaminophen, ibuprofen,oxycodone,ketorolac"
huntington disease,"tetrabenazine, haloperidol,olanzapine"
lymphoma,rituximab + cyclophosphamide + doxorubicin + vincristine + prednisone (R-CHOP)
dermatitis due to sun exposure,"betamethasone cream, hydrocortisone"
anemia due to chronic kidney disease,"erythropoietin, darbepoetin,iron sucrose"
injury to internal organ,"fluids, transfusions,supportive"
scleritis,"prednisone, methotrexate,cyclophosphamide"
pterygium,"artificial tears, steroid eye drops,surgery"
fungal infection of the skin,"terbinafine cream, clotrimazole,ketoconazole"
insulin overdose,"glucose (IV), glucagon"
syndrome of inappropriate secretion of adh (siadh),"fluid restriction, tolvaptan,demeclocycline"
foreign body in the ear,"antibiotics if infection, removal primary"
premenstrual tension syndrome,"SSRIs (fluoxetine), combined oral contraceptives,spironolactone"
orbital cellulitis,"vancomycin + ceftriaxone, metronidazole"
injury to the leg,"acetaminophen, ibuprofen,opioid short-term"
hepatic encephalopathy,"lactulose, rifaximin"
bone cancer,"doxorubicin + cisplatin, methotrexate,supportive"
syringomyelia,"no specific drug, surgery (shunt)"
pulmonary fibrosis,"pirfenidone, nintedanib,prednisone (inflammatory)"
mitral valve disease,"warfarin (if AF), diuretics (furosemide),beta-blockers"
parkinson disease,"levodopa + carbidopa, pramipexole,rasagiline"
gout,"colchicine, allopurinol,febuxostat,indomethacin"
otitis media,"amoxicillin, cefdinir,acetaminophen"
drug abuse (opioids),"buprenorphine-naloxone, methadone,naltrexone"
myelodysplastic syndrome,"azacitidine, lenalidomide,supportive transfusions"
fracture of the shoulder,"acetaminophen, ibuprofen,opioid short-term"
acute kidney injury,"IV fluids, furosemide (if volume overload),supportive"
threatened pregnancy,"progesterone (vaginal), bed rest"
intracranial abscess,"ceftriaxone + metronidazole + vancomycin, surgery"
gum disease,"chlorhexidine rinse, amoxicillin-clavulanate"
open wound from surgical incision,"antibiotics (cephalexin), wound care"
gastrointestinal hemorrhage,"pantoprazole, octreotide,tranexamic acid"
seborrheic dermatitis,"ketoconazole shampoo, betamethasone lotion"
drug abuse (methamphetamine),"supportive (no specific antidote), benzodiazepines for agitation"
torticollis,"botulinum toxin, benzodiazepines (diazepam)"
poisoning due to antihypertensives,"supportive, IV fluids,glucagon (beta-blocker)"
tension headache,"acetaminophen, ibuprofen,naproxen"
alcohol intoxication,"supportive, thiamine,glucose"
scurvy,ascorbic acid (vitamin C)
narcolepsy,"modafinil, sodium oxybate,amphetamines"
food allergy,"epinephrine auto-injector, cetirizine,ranitidine"
labyrinthitis,"meclizine, scopolamine patch,prednisone"
anxiety,"sertraline, escitalopram,lorazepam,buspirone"
impulse control disorder,"SSRIs (fluoxetine), lithium (if bipolar)"
stenosis of the tear duct,"antibiotics (if dacryocystitis), surgery"
abscess of nose,"amoxicillin-clavulanate, incision and drainage"
omphalitis,"cefotaxime, vancomycin (if MRSA)"
leukemia,"imatinib (CML), vincristine + prednisone + asparaginase (ALL),chemotherapy"
bell palsy,"prednisone, acyclovir,valacyclovir"
conjunctivitis due to allergy,"olopatadine eye drops, cetirizine"
drug reaction,"antihistamines (diphenhydramine), prednisone,epinephrine (if anaphylaxis)"
adrenal cancer,"mitotane, chemotherapy (etoposide + doxorubicin + cisplatin)"
myopia,no medication (glasses/lasik)
osteoarthritis,"acetaminophen, ibuprofen,naproxen,duloxetine"
thyroid disease,"levothyroxine (hypo), methimazole (hyper)"
pharyngitis,"penicillin V, amoxicillin,acetaminophen"
chronic rheumatic fever,"penicillin G benzathine (prophylaxis), aspirin"
hypocalcemia,"calcium gluconate, calcitriol,vitamin D"
macular degeneration,"ranibizumab, bevacizumab,aflibercept"
pneumonia,"amoxicillin, azithromycin,levofloxacin,ceftriaxone"
cold sore,"acyclovir, valacyclovir,famciclovir"
premature ventricular contractions (pvcs),"metoprolol, amiodarone (if frequent)"
testicular cancer,bleomycin + etoposide + cisplatin (BEP)
hydrocephalus,"acetazolamide, furosemide,shunt surgery"
breast cancer,"tamoxifen, anastrozole,docetaxel + trastuzumab"
anemia due to malignancy,"erythropoietin, darbepoetin,transfusions"
esophageal varices,"octreotide, propranolol,band ligation"
endometrial cancer,"progesterone, carboplatin + paclitaxel"
cystic fibrosis,"dornase alfa, ivacaftor,tobramycin inhalation"
intertrigo (skin condition),"clotrimazole, ketoconazole,barrier cream"
parathyroid adenoma,"cinacalcet, hydration,surgery primary"
glucocorticoid deficiency,"hydrocortisone, fludrocortisone"
temporomandibular joint disorder,"ibuprofen, naproxen,amitriptyline"
wilson disease,"penicillamine, trientine,zinc acetate"
vesicoureteral reflux,"antibiotics (prophylactic trimethoprim), surgery"
vitamin a deficiency,vitamin A supplements
gonorrhea,ceftriaxone + azithromycin
fracture of the rib,"acetaminophen, ibuprofen,opioid short-term"
ependymoma,"chemotherapy (vincristine + cisplatin), surgery/radiation"
hepatitis due to a toxin,"N-acetylcysteine (acetaminophen), supportive"
vaginal cyst,"antibiotics if infected, surgery"
open wound of the shoulder,"antibiotics, analgesics"
ectopic pregnancy,"methotrexate, surgery"
chronic knee pain,"acetaminophen, duloxetine,gabapentin"
pinguecula,"artificial tears, steroid drops if inflamed"
hypergammaglobulinemia,"no specific, underlying treatment"
alcohol abuse,"naltrexone, disulfiram,acamprosate"
carpal tunnel syndrome,"ibuprofen, pregabalin,corticosteroid injection"
pituitary disorder,"hydrocortisone, levothyroxine,desmopressin"
kidney stone,"tamsulosin, ketorolac,allopurinol (if uric acid)"
autism,no specific medication (risperidone for irritability)
cat scratch disease,"azithromycin, rifampin (severe)"
chronic glaucoma,"latanoprost, timolol,brimonidine"
retinal detachment,no medication (surgery)
aplastic anemia,"antithymocyte globulin, cyclosporine"
overflow incontinence,"oxybutynin, tamsulosin"
hemolytic anemia,"prednisone, rituximab"
lateral epicondylitis (tennis elbow),"ibuprofen, corticosteroid injection"
open wound of the eye,"antibiotics (erythromycin), surgery if needed"
syphilis,"penicillin G benzathine, doxycycline (allergy)"
diabetic kidney disease,"lisinopril, losartan,empagliflozin"
nose disorder,"fluticasone nasal spray, ipratropium nasal"
drug withdrawal,"clonidine (opioid), benzodiazepines (alcohol)"
dental caries,"antibiotics (if abscess), analgesics"
hypercholesterolemia,"atorvastatin, rosuvastatin,ezetimibe"
fracture of the patella,"acetaminophen, ibuprofen,opioid short-term"
kidney failure,"erythropoietin, phosphate binders,diuretics"
fracture of the neck,"acetaminophen, opioids,supportive"
muscle spasm,"cyclobenzaprine, diazepam"
hemophilia,"factor VIII or IX concentrate, desmopressin"
hyperosmotic hyperketotic state,"insulin, fluids,electrolytes"
peritonsillar abscess,"penicillin + metronidazole, clindamycin,drainage"
gastroparesis,"metoclopramide, erythromycin,domperidone"
itching of unknown cause,"hydroxyzine, diphenhydramine,loratadine"
polycythemia vera,"hydroxyurea, aspirin,interferon alfa"
thrombocytopenia,"prednisone, IVIG,rituximab"
head and neck cancer,"cisplatin + 5-fluorouracil, cetuximab"
pseudohypoparathyroidism,"calcium + vitamin D, calcitriol"
goiter,"levothyroxine (if hypo), methimazole (if hyper)"
urge incontinence,"oxybutynin, tolterodine,solifenacin"
edward syndrome,supportive (no specific medication)
open wound of the arm,"antibiotics, analgesics"
muscular dystrophy,"deflazacort (Duchenne), supportive"
mittelschmerz,"ibuprofen, acetaminophen,combined oral contraceptives (preventive)"
corneal abrasion,"erythromycin ointment, cycloplegics (cyclopentolate)"
anemia of chronic disease,"erythropoietin, iron"
dysthymic disorder,"sertraline, fluoxetine,bupropion"
scarlet fever,"penicillin V, amoxicillin,acetaminophen"
hypertensive heart disease,"lisinopril, metoprolol,amlodipine"
drug abuse (barbiturates),"supportive, phenobarbital taper"
polycystic ovarian syndrome (pcos),"combined oral contraceptives, metformin,spironolactone"
encephalitis,"acyclovir (viral), antibiotics (bacterial),steroids"
cyst of the eyelid,"erythromycin ointment, incision if needed"
balanitis,"clotrimazole, fluconazole,betamethasone"
foreign body in the throat,"antibiotics if infection, removal"
drug abuse (cocaine),"supportive, benzodiazepines for agitation"
optic neuritis,"methylprednisolone, interferon beta (if MS)"
alcohol withdrawal,"lorazepam, diazepam,thiamine"
premature atrial contractions (pacs),"metoprolol, verapamil"
hemiplegia,supportive (aspirin if stroke)
hammer toe,"acetaminophen, orthotics (no drug)"
open wound of the cheek,"antibiotics, analgesics"
joint effusion,"ibuprofen, corticosteroid injection"
open wound of the knee,"antibiotics, analgesics"
meningioma,no medication (surgery/radiation)
brain cancer,"temozolomide, bevacizumab,chemotherapy"
placental abruption,"supportive (blood transfusion), delivery"
seasonal allergies (hay fever),"cetirizine, fluticasone nasal spray,montelukast"
lung cancer,"carboplatin + paclitaxel, pembrolizumab,osimertinib (EGFR)"
primary kidney disease,"ACE inhibitors (lisinopril), steroids if glomerulonephritis"
uterine cancer,"medroxyprogesterone, carboplatin + paclitaxel"
dry eye of unknown cause,"cyclosporine eye drops, artificial tears,lifitegrast"
fibrocystic breast disease,"caffeine reduction (no drug), danazol,NSAIDs"
fungal infection of the hair,"terbinafine, itraconazole,griseofulvin"
tooth abscess,"amoxicillin, clindamycin,acetaminophen"
envenomation from spider or animal bite,"antivenom (specific), antibiotics,tetanus"
vacterl syndrome,"supportive (no specific medication), surgery for defects"
vertebrobasilar insufficiency,"aspirin, clopidogrel,statins"
rectal disorder,"mesalamine (if IBD), loperamide"
atonic bladder,"bethanechol, oxybutynin"
benign paroxysmal positional vertical (bppv),"meclizine, diazepam,canalith repositioning (no drug)"
blepharospasm,botulinum toxin injections
sarcoidosis,"prednisone, methotrexate,infliximab"
metastatic cancer,"palliative chemotherapy (varies), opioids for pain"
trigger finger (finger disorder),"corticosteroid injection, NSAIDs"
stye,"erythromycin ointment, warm compress"
hemochromatosis,"deferasirox, phlebotomy primary"
osteochondroma,"no medication, surgery if symptomatic"
cushing syndrome,"ketoconazole, metyrapone,pasireotide,surgery"
typhoid fever,"ceftriaxone, azithromycin,ciprofloxacin"
vitreous degeneration,no medication (observation)
atrophic skin condition,"moisturizers (no drug), topical steroids"
aspergillosis,"voriconazole, amphotericin B,isavuconazole"
uterine atony,"oxytocin, methylergonovine,carboprost"
trichinosis,"albendazole, mebendazole,steroids"
whooping cough,"azithromycin, erythromycin,supportive"
open wound of the lip,"antibiotics, analgesics"
subacute thyroiditis,"ibuprofen, prednisone,beta-blockers"
oral mucosal lesion,"clotrimazole (if candida), triamcinolone paste"
open wound due to trauma,"antibiotics, tetanus toxoid"
intracerebral hemorrhage,"mannitol, anticonvulsants"
alzheimer disease,"donepezil, memantine,galantamine"
vaginismus,"no specific drug (topical lidocaine), botulinum toxin (off-label)"
systemic lupus erythematosis (sle),"hydroxychloroquine, prednisone,mycophenolate"
premature ovarian failure,hormone replacement (estradiol)
thoracic outlet syndrome,no medication (surgery/PT)
ganglion cyst,"NSAIDs (ibuprofen), aspiration"
dislocation of the knee,"acetaminophen, ibuprofen,opioid short-term"
crohn disease,"mesalamine, budesonide,infliximab,azathioprine"
postoperative infection,"vancomycin, piperacillin-tazobactam"
folate deficiency,folic acid
fluid overload,"furosemide, spironolactone"
atrial flutter,"metoprolol, diltiazem,apixaban"
skin disorder,"hydrocortisone, betamethasone (topical)"
floaters,no medication (observation)
tooth disorder,"amoxicillin, acetaminophen"
heart attack,"aspirin, clopidogrel,heparin,atorvastatin,metoprolol"
open wound of the abdomen,"antibiotics, analgesics"
fracture of the leg,"acetaminophen, ibuprofen,opioid short-term"
oral thrush (yeast infection),"nystatin suspension, fluconazole"
pityriasis rosea,"antihistamines (cetirizine), hydrocortisone cream"
allergy to animals,"cetirizine, fluticasone nasal spray"
orthostatic hypotension,"fludrocortisone, midodrine"
obstructive sleep apnea (osa),"no medication (CPAP), modafinil (daytime)"
hypokalemia,potassium chloride
psoriasis,"betamethasone, calcipotriene,methotrexate,secukinumab"
dislocation of the shoulder,"acetaminophen, ibuprofen,opioid short-term"
intussusception,"supportive, surgery/air enema"
cervicitis,azithromycin + ceftriaxone (if STI)
abscess of the pharynx,"penicillin, clindamycin,drainage"
primary thrombocythemia,"hydroxyurea, anagrelide,aspirin"
arthritis of the hip,"ibuprofen, acetaminophen,corticosteroid injection"
decubitus ulcer,antibiotics if infected (varies)
hypernatremia,fluid replacement (hypotonic)
sensorineural hearing loss,no medication (steroids if acute)
chronic ulcer,"antibiotics if infected, pentoxifylline"
osteoporosis,"alendronate, denosumab,calcium + vitamin D"
ileus,supportive (no prokinetics routine)
sickle cell crisis,"hydroxyurea, oxycodone,hydration"
urethritis,"azithromycin, ceftriaxone,doxycycline"
prostatitis,"ciprofloxacin, trimethoprim-sulfamethoxazole"
otitis externa (swimmer's ear),ciprofloxacin + dexamethasone ear drops
poisoning due to anticonvulsants,"supportive, activated charcoal"
testicular torsion,"no medication, surgery"
tricuspid valve disease,"diuretics, furosemide"
urethral stricture,"antibiotics if infection, surgery"
vitamin d deficiency,cholecalciferol (vitamin D3)
hydatidiform mole,"methotrexate (if persistent), surgery"
pain disorder affecting the neck,"ibuprofen, gabapentin"
tuberculosis,isoniazid + rifampin + pyrazinamide + ethambutol
pelvic fistula,"antibiotics, surgery"
