diseases,symptoms
subdural hemorrhage,"depressive or psychotic symptoms,dizziness,irritable infant,vomiting,headache,facial pain"
substance-related mental disorder,"anxiety and nervousness,depressive or psychotic symptoms,insomnia,hostile behavior,drug abuse,feeling ill,delusions or hallucinations"
teething syndrome,"cough,nasal congestion,diarrhea,symptoms of infants,ear pain,decreased appetite,fever,temper problems,redness in ear"
thoracic aortic aneurysm,"shortness of breath,sharp chest pain,dizziness,chest tightness,jaundice,sharp abdominal pain,fatigue"
thrombophlebitis,"skin swelling,leg pain,arm pain,arm swelling,foot or toe pain,leg swelling,ache all over,lymphedema,skin on leg or foot looks infected"
tinnitus of unknown cause,"dizziness,hoarse voice,diminished hearing,headache,ear pain,ringing in ear,plugged feeling in ear,itchy ear(s)"
transient ischemic attack,"depressive or psychotic symptoms,dizziness,difficulty speaking,headache,weakness,loss of sensation,focal weakness,symptoms of the face,disturbance of memory,paresthesia"
turner syndrome,"depression,emotional symptoms"
uterine fibroids,"sharp abdominal pain,involuntary urination,lower abdominal pain,intermenstrual bleeding,pelvic pain,cramps and spasms,heavy menstrual flow,unpredictable menstruation,painful menstruation"
vaginal yeast infection,"suprapubic pain,sharp abdominal pain,vaginal itching,painful urination,lower abdominal pain,vaginal discharge,vaginal pain,vaginal redness,vulvar irritation,itching of skin"
vaginitis,"suprapubic pain,sharp abdominal pain,vaginal itching,painful urination,pain during intercourse,lower abdominal pain,vaginal discharge,pain during pregnancy,pelvic pain,vaginal pain,vaginal redness"
viral warts,"skin swelling,lip swelling,abnormal appearing skin,skin lesion,acne or pimples,skin growth,skin moles,warts,bumps on penis"
vocal cord polyp,
