diseases,workout
hypertrophic obstructive cardiomyopathy (hocm),"1. Perform moderate walking, 2. Engage in light yoga, 3. Try swimming, 4. Avoid intense exercise."
ingrown toe nail,"1. Perform toe stretches, 2. Engage in light walking, 3. Try foot exercises, 4. Avoid tight shoes."
pulmonary eosinophilia,"1. Perform breathing exercises, 2. Engage in light walking, 3. Try yoga, 4. Practice pursed-lip."
corneal disorder,"1. Perform eye relaxation exercises, 2. Engage in light walking, 3. Try blinking, 4. Avoid eye strain."
foreign body in the gastrointestinal tract,"1. Perform light walking post-removal, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid abdominal strain."
endophthalmitis,"1. Perform light walking, 2. Engage in gentle movement, 3. Try eye exercises if prescribed, 4. Avoid strain."
intestinal malabsorption,"1. Perform light walking, 2. Engage in yoga, 3. Try gentle stretching, 4. Avoid overexertion."
viral warts,"1. Perform light walking, 2. Engage in balanced activity, 3. Try yoga, 4. Avoid trauma to area."
hyperhidrosis,"1. Perform moderate exercise in cool environment, 2. Engage in yoga, 3. Try swimming, 4. Practice relaxation."
stroke,"1. Perform physical therapy exercises, 2. Engage in walking, 3. Try balance training, 4. Practice range of motion."
pilonidal cyst,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try core exercises if cleared, 4. Avoid sitting pressure."
crushing injury,"1. Perform physical therapy, 2. Engage in gentle movement, 3. Try range of motion, 4. Avoid heavy lifting."
normal pressure hydrocephalus,"1. Perform gait training, 2. Engage in balance exercises, 3. Try walking, 4. Practice coordination."
alopecia,"1. Perform scalp massage, 2. Engage in light walking, 3. Try yoga, 4. Practice stress reduction."
hashimoto thyroiditis,"1. Perform moderate walking, 2. Engage in yoga, 3. Try strength training, 4. Practice breathing."
flat feet,"1. Perform foot arch strengthening, 2. Engage in walking, 3. Try calf stretches, 4. Practice balance."
nonalcoholic liver disease (nash),"1. Perform moderate aerobic exercise, 2. Engage in strength training, 3. Try swimming, 4. Practice yoga."
hemarthrosis,"1. Perform gentle range of motion, 2. Engage in physical therapy, 3. Try light walking, 4. Avoid impact."
pelvic organ prolapse,"1. Perform Kegel exercises, 2. Engage in pelvic floor therapy, 3. Try walking, 4. Practice yoga."
fracture of the arm,"1. Perform finger exercises, 2. Engage in shoulder pendulum, 3. Try physical therapy, 4. Avoid heavy use."
coagulation (bleeding) disorder,"1. Perform gentle walking, 2. Engage in low-impact, 3. Try swimming, 4. Avoid contact sports."
intracranial hemorrhage,"1. Perform physical therapy, 2. Engage in light walking, 3. Try balance, 4. Avoid strain."
hyperkalemia,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid overexertion."
cornea infection,"1. Perform eye relaxation, 2. Engage in light walking, 3. Try blinking exercises, 4. Avoid strain."
abscess of the lung,"1. Perform chest physiotherapy, 2. Engage in breathing exercises, 3. Try walking, 4. Practice coughing."
dengue fever,"1. Perform light walking once fever gone, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid strenuous."
chronic sinusitis,"1. Perform nasal irrigation movement, 2. Engage in yoga, 3. Try walking, 4. Practice breathing."
cholesteatoma,"1. Perform light walking, 2. Engage in gentle neck stretches, 3. Try balance, 4. Avoid strain."
volvulus,"1. Perform light walking post-surgery, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid abdominal."
injury to the finger,"1. Perform finger exercises, 2. Engage in hand therapy, 3. Try grip work, 4. Avoid impact."
atrial fibrillation,"1. Perform moderate walking, 2. Engage in swimming, 3. Try yoga, 4. Practice breathing."
pinworm infection,"1. Perform light activity, 2. Engage in walking, 3. Try balanced movement, 4. Avoid scratching."
urethral valves,"1. Perform light walking, 2. Engage in pelvic floor if advised, 3. Try gentle stretching, 4. Avoid strain."
open wound of the neck,"1. Perform gentle neck stretches once healed, 2. Engage in light walking, 3. Try deep breathing, 4. Avoid strain."
achalasia,"1. Perform deep breathing, 2. Engage in light walking, 3. Try yoga, 4. Avoid abdominal strain."
conductive hearing loss,"1. Perform light walking, 2. Engage in balance exercises, 3. Try yoga, 4. Practice listening focus."
abdominal hernia,"1. Perform core strengthening post-repair, 2. Engage in walking, 3. Try pelvic tilts, 4. Avoid heavy lifting."
cerebral palsy,"1. Perform physical therapy stretches, 2. Engage in swimming, 3. Try adaptive sports, 4. Practice balance."
marijuana abuse,"1. Perform moderate exercise, 2. Engage in yoga, 3. Try walking, 4. Practice mindfulness."
cryptococcosis,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid overexertion."
obesity,"1. Perform 150 minutes moderate aerobic weekly, 2. Engage in strength training, 3. Try swimming, 4. Practice yoga."
indigestion,"1. Perform light walking after meals, 2. Engage in yoga, 3. Try deep breathing, 4. Avoid intense activity."
bursitis,"1. Perform gentle stretching, 2. Engage in physical therapy, 3. Try swimming, 4. Avoid aggravating motions."
esophageal cancer,"1. Perform light walking, 2. Engage in breathing exercises, 3. Try gentle stretching, 4. Avoid heavy lifting."
pulmonary congestion,"1. Perform breathing exercises, 2. Engage in light walking, 3. Try chair exercises, 4. Practice pursed-lip."
juvenile rheumatoid arthritis,"1. Perform physical therapy, 2. Engage in swimming, 3. Try yoga, 4. Practice range of motion."
actinic keratosis,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try yoga, 4. Avoid sun exposure."
acute otitis media,"1. Perform gentle neck stretches, 2. Engage in light walking, 3. Try deep breathing, 4. Avoid straining."
astigmatism,"1. Perform eye exercises, 2. Engage in light walking, 3. Try balance, 4. Practice visual focus."
tuberous sclerosis,"1. Perform adapted physical activity, 2. Engage in swimming, 3. Try yoga, 4. Practice balance."
empyema,"1. Perform chest physiotherapy, 2. Engage in breathing exercises, 3. Try walking, 4. Practice coughing."
presbyacusis,"1. Perform light walking, 2. Engage in balance exercises, 3. Try yoga, 4. Practice listening."
neonatal jaundice,"1. Perform gentle infant movement, 2. Engage in tummy time, 3. Try supervised play, 4. Avoid vigorous."
chronic obstructive pulmonary disease (copd),"1. Perform pulmonary rehab walking, 2. Engage in breathing exercises, 3. Try arm ergometer, 4. Practice pursed-lip."
dislocation of the elbow,"1. Perform physical therapy, 2. Engage in range of motion, 3. Try strengthening, 4. Avoid strain."
spondylosis,"1. Perform neck stretches, 2. Engage in core strengthening, 3. Try swimming, 4. Practice posture."
herpangina,"1. Perform light activity, 2. Engage in gentle movement, 3. Try deep breathing, 4. Avoid strain."
injury to the shoulder,"1. Perform pendulum exercises, 2. Engage in physical therapy, 3. Try resistance bands, 4. Avoid overhead."
poisoning due to antidepressants,"1. Perform light walking once stable, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid overexertion."
infection of open wound,"1. Perform light activity once healed, 2. Engage in gentle movement, 3. Try stretching, 4. Avoid strain."
deep vein thrombosis (dvt),"1. Perform ankle pumps, 2. Engage in walking, 3. Try leg elevation exercises, 4. Practice compression movement."
protein deficiency,"1. Perform light strength training, 2. Engage in walking, 3. Try yoga, 4. Practice balance."
myoclonus,"1. Perform relaxation exercises, 2. Engage in yoga, 3. Try deep breathing, 4. Avoid sudden movements."
bone spur of the calcaneous,"1. Perform calf stretches, 2. Engage in foot exercises, 3. Try walking in supportive shoes, 4. Practice balance."
von willebrand disease,"1. Perform low-impact exercise, 2. Engage in swimming, 3. Try walking, 4. Avoid contact sports."
open wound of the back,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try core exercises if cleared, 4. Avoid strain."
heart block,"1. Perform light walking, 2. Engage in chair exercises, 3. Try deep breathing, 4. Avoid intense cardio."
colonic polyp,"1. Perform moderate walking, 2. Engage in yoga, 3. Try swimming, 4. Practice core."
magnesium deficiency,"1. Perform gentle stretching, 2. Engage in yoga, 3. Try walking, 4. Practice relaxation."
female infertility of unknown cause,"1. Perform moderate exercise, 2. Engage in yoga, 3. Try swimming, 4. Practice stress reduction."
pericarditis,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid strain."
attention deficit hyperactivity disorder (adhd),"1. Perform aerobic exercise like running, 2. Engage in team sports, 3. Try yoga, 4. Practice mindfulness."
pulmonic valve disease,"1. Perform moderate exercise as tolerated, 2. Engage in walking, 3. Try swimming, 4. Avoid intense."
tietze syndrome,"1. Perform gentle chest stretches, 2. Engage in breathing exercises, 3. Try light walking, 4. Avoid strain."
cranial nerve palsy,"1. Perform facial exercises, 2. Engage in eye movement, 3. Try balance, 4. Practice therapy."
injury to the arm,"1. Perform range of motion, 2. Engage in physical therapy, 3. Try strengthening, 4. Avoid impact."
conversion disorder,"1. Perform gentle movement, 2. Engage in physical therapy, 3. Try yoga, 4. Practice mindfulness."
complex regional pain syndrome,"1. Perform desensitization exercises, 2. Engage in physical therapy, 3. Try mirror therapy, 4. Practice gentle movement."
otosclerosis,"1. Perform light walking, 2. Engage in balance, 3. Try yoga, 4. Avoid loud environments."
injury to the trunk,"1. Perform gentle walking, 2. Engage in breathing, 3. Try light stretching, 4. Avoid heavy lifting."
hypothyroidism,"1. Perform moderate aerobic, 2. Engage in strength training, 3. Try yoga, 4. Practice regular activity."
primary insomnia,"1. Perform moderate exercise earlier in day, 2. Engage in yoga, 3. Try walking, 4. Practice relaxation."
lice,"1. Perform light activity, 2. Engage in balanced movement, 3. Try walking, 4. Avoid head contact sports."
vitamin b12 deficiency,"1. Perform light walking, 2. Engage in balance exercises, 3. Try yoga, 4. Practice coordination."
diabetes,"1. Perform 150 minutes moderate aerobic weekly, 2. Engage in strength training, 3. Try swimming, 4. Practice yoga."
vulvodynia,"1. Perform pelvic floor relaxation, 2. Engage in gentle yoga, 3. Try walking, 4. Practice stretching."
endometriosis,"1. Perform yoga for pelvic pain, 2. Engage in swimming, 3. Try walking, 4. Practice gentle stretching."
vasculitis,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try yoga, 4. Avoid overexertion."
concussion,"1. Perform light walking, 2. Engage in balance exercises, 3. Try cognitive rest initially, 4. Practice gradual return."
oral leukoplakia,"1. Perform light walking, 2. Engage in balanced activity, 3. Try yoga, 4. Avoid oral strain."
chronic kidney disease,"1. Perform moderate walking, 2. Engage in chair exercises, 3. Try swimming, 4. Practice light resistance."
bladder disorder,"1. Perform Kegel exercises, 2. Engage in pelvic floor therapy, 3. Try walking, 4. Practice yoga."
chorioretinitis,"1. Perform light walking, 2. Engage in gentle activity, 3. Try eye exercises if prescribed, 4. Avoid strain."
priapism,"1. Perform light walking once resolved, 2. Engage in gentle movement, 3. Try stretching, 4. Avoid sexual activity until cleared."
myositis,"1. Perform physical therapy stretches, 2. Engage in gentle movement, 3. Try swimming, 4. Practice range of motion."
mononucleosis,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid contact sports."
neuralgia,"1. Perform gentle stretching, 2. Engage in yoga, 3. Try walking, 4. Practice relaxation."
polycystic kidney disease,"1. Perform moderate exercise, 2. Engage in walking, 3. Try swimming, 4. Practice yoga."
bipolar disorder,"1. Perform regular moderate exercise, 2. Engage in yoga, 3. Try walking, 4. Practice mindfulness."
amyloidosis,"1. Perform light walking, 2. Engage in gentle stretching, 3. Try chair exercises, 4. Avoid overexertion."
chronic inflammatory demyelinating polyneuropathy (cidp),"1. Perform physical therapy, 2. Engage in gentle strengthening, 3. Try swimming, 4. Practice balance."
gastroesophageal reflux disease (gerd),"1. Perform light walking after meals, 2. Engage in yoga, 3. Try deep breathing, 4. Avoid intense activity."
vitreous hemorrhage,"1. Perform light walking, 2. Engage in gentle movement, 3. Try eye rest, 4. Avoid strain."
poisoning due to antimicrobial drugs,"1. Perform light walking once recovered, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid overexertion."
open wound of the mouth,"1. Perform gentle jaw exercises, 2. Engage in light walking, 3. Try deep breathing, 4. Avoid strain."
scleroderma,"1. Perform hand and joint exercises, 2. Engage in gentle stretching, 3. Try walking, 4. Practice range of motion."
myasthenia gravis,"1. Perform physical therapy, 2. Engage in energy-conserving movement, 3. Try swimming, 4. Practice rest intervals."
hypoglycemia,"1. Perform moderate exercise with monitoring, 2. Engage in walking, 3. Try yoga, 4. Avoid intense without snacks."
idiopathic absence of menstruation,"1. Perform moderate exercise, 2. Engage in yoga, 3. Try walking, 4. Practice stress reduction."
dislocation of the ankle,"1. Perform physical therapy, 2. Engage in balance exercises, 3. Try strengthening, 4. Avoid pivoting."
carbon monoxide poisoning,"1. Perform light walking once recovered, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid overexertion."
panic attack,"1. Perform deep breathing exercises, 2. Engage in walking, 3. Try progressive muscle relaxation, 4. Practice yoga."
plantar fasciitis,"1. Perform calf and foot stretches, 2. Engage in walking in supportive shoes, 3. Try yoga, 4. Practice balance."
hyperopia,"1. Perform eye exercises, 2. Engage in light walking, 3. Try balance, 4. Practice visual focus."
poisoning due to sedatives,"1. Perform light walking once recovered, 2. Engage in gentle stretching, 3. Try deep breathing, 4. Avoid overexertion."
pemphigus,"1. Perform gentle movement, 2. Engage in light walking, 3. Try stretching, 4. Avoid skin trauma."
peyronie disease,"1. Perform gentle stretching if advised, 2. Engage in light walking, 3. Try pelvic floor, 4. Avoid sexual strain."
hiatal hernia,"1. Perform light walking, 2. Engage in yoga, 3. Try deep breathing, 4. Avoid abdominal strain."
extrapyramidal effect of drugs,"1. Perform gentle stretching, 2. Engage in physical therapy, 3. Try walking, 4. Practice relaxation."
meniere disease,"1. Perform balance exercises, 2. Engage in walking, 3. Try vestibular"
