diseases,description
pyloric stenosis,Pyloric stenosis is a condition in infants where the pylorus muscle thickens; narrowing the outlet from the stomach to the small intestine and causing forceful; projectile vomiting after feeding. It usually develops between 2-8 weeks of age and leads to dehydration; weight loss; and electrolyte imbalances if not treated promptly. The exact cause is unknown but involves genetic and environmental factors. Diagnosis is confirmed by ultrasound showing the thickened pylorus. Treatment is surgical pyloromyotomy to relieve the obstruction; allowing normal feeding and growth with excellent long-term outcomes.
salivary gland disorder,Salivary gland disorder encompasses conditions affecting the major salivary glands such as sialadenitis (inflammation); stones (sialolithiasis); tumors; or infections. Symptoms include painful swelling; dry mouth; difficulty swallowing; foul taste; and fever in acute cases. Causes range from bacterial infection; dehydration; and blockage by stones to autoimmune diseases like Sjogren's syndrome. Chronic cases can lead to gland damage and recurrent infections. Management involves antibiotics; hydration; sialagogues to promote saliva flow; stone removal; or surgery in severe cases to restore normal salivary function and prevent complications.
osteochondrosis,Osteochondrosis refers to a group of disorders involving disturbed blood supply to growing bone and cartilage; most commonly in children and adolescents; leading to necrosis and potential deformity. It affects areas like the spine (Scheuermann's disease); knee (Osgood-Schlatter); or hip (Legg-Calve-Perthes). Symptoms include localized pain; limping; swelling; and limited joint motion during growth spurts. The condition is self-limiting but can cause permanent joint damage if untreated. Treatment focuses on rest; physical therapy; bracing; and pain management to support natural healing and prevent long-term arthritis.
injury to the knee,Injury to the knee includes sprains; strains; meniscus tears; ligament ruptures (ACL; MCL); or fractures from sports; falls; or accidents. It presents with pain; swelling; instability; locking; or popping sensations that impair walking and daily activities. Chronic cases can lead to osteoarthritis. Accurate diagnosis via physical exam; MRI; and X-ray guides treatment from conservative RICE (rest; ice; compression; elevation); physical therapy; and bracing to arthroscopic surgery for severe tears. Early intervention is critical to restore stability and prevent further joint degeneration.
metabolic disorder,Metabolic disorder is a broad category of conditions where the body's chemical processes for converting food to energy are disrupted; leading to abnormal levels of substances like sugars; fats; or amino acids. Examples include diabetes; phenylketonuria; and lysosomal storage diseases. Symptoms vary widely but may include fatigue; weight changes; developmental delays; organ damage; or recurrent infections. Genetic or acquired causes affect enzymes or hormones. Early screening and lifelong management with diet; medications; enzyme replacement; or gene therapy are essential to prevent complications such as organ failure or neurological impairment.
vaginitis,Vaginitis is inflammation of the vagina usually caused by infection (bacterial vaginosis; yeast; trichomonas); hormonal changes; or irritants. It leads to abnormal discharge; itching; burning; redness; swelling; and painful urination or intercourse. Untreated bacterial or parasitic types can ascend to cause pelvic inflammatory disease and infertility. Diagnosis involves pelvic exam and lab tests of discharge. Treatment is tailored—antibiotics; antifungals; or estrogen cream—along with avoiding irritants and practicing safe sex to restore normal vaginal flora and pH balance.
sick sinus syndrome,Sick sinus syndrome is a dysfunction of the heart's natural pacemaker (sinus node) causing abnormally slow or irregular heart rhythms (bradycardia; pauses; or alternating tachycardia). It primarily affects older adults and can result from aging; heart disease; medications; or infections. Symptoms include dizziness; fainting; fatigue; shortness of breath; and palpitations. Without treatment; it increases stroke and heart failure risk. Diagnosis uses ECG and Holter monitoring. Management often requires a permanent pacemaker implantation to regulate heartbeat and improve quality of life.
tinnitus of unknown cause,Tinnitus of unknown cause; or idiopathic tinnitus; is the perception of ringing; buzzing; or other noises in the ears without an external sound source. It may be constant or intermittent and is often linked to hearing loss; noise exposure; or vascular issues; though the exact mechanism remains unclear. It can cause significant distress; sleep disturbance; anxiety; and concentration problems. Evaluation rules out treatable causes like earwax or vascular tumors. Management includes sound therapy; cognitive behavioral therapy; hearing aids; and lifestyle changes to mask or habituate to the sound and reduce emotional impact.
glaucoma,Glaucoma is a group of eye diseases characterized by progressive damage to the optic nerve; usually due to elevated intraocular pressure; leading to irreversible vision loss if untreated. It is often called the 'silent thief of sight' because early stages are asymptomatic until peripheral vision is lost. Risk factors include age over 40; family history; diabetes; and high myopia. Types include open-angle (most common) and angle-closure (emergency). Treatment with eye drops; laser; or surgery aims to lower pressure and preserve remaining vision through lifelong monitoring.
eating disorder,Eating disorder refers to serious mental health conditions involving unhealthy relationships with food; weight; and body image; such as anorexia nervosa; bulimia; or binge-eating disorder. They cause severe physical complications including malnutrition; electrolyte imbalances; heart problems; and bone loss; alongside psychological distress. Genetic; psychological; and societal factors contribute. Symptoms include extreme restriction; purging; or compulsive overeating. Multidisciplinary treatment with nutritional counseling; psychotherapy (CBT); and medical monitoring is crucial for recovery and prevention of long-term organ damage or death.
transient ischemic attack,Transient ischemic attack (TIA); often called a mini-stroke; is a temporary blockage of blood flow to the brain causing stroke-like symptoms such as sudden weakness; numbness; speech difficulty; or vision loss that resolve within minutes to hours. It serves as a critical warning sign for future full stroke. Caused by clots or narrowed arteries from atherosclerosis; hypertension; or atrial fibrillation. Immediate medical evaluation with imaging and blood tests is vital. Treatment focuses on antiplatelet drugs; blood pressure control; statins; and lifestyle changes to prevent permanent brain damage.
pyelonephritis,Pyelonephritis is a serious bacterial kidney infection; usually ascending from the bladder; causing high fever; chills; flank pain; nausea; vomiting; and painful urination. It can lead to sepsis; kidney scarring; or chronic kidney disease if recurrent or untreated. Common in women due to shorter urethra and often linked to urinary tract obstruction or stones. Diagnosis involves urine culture and imaging. Hospitalization with intravenous antibiotics is required for severe cases; followed by oral antibiotics and preventive measures like adequate hydration and prompt UTI treatment.
rotator cuff injury,Rotator cuff injury involves damage to the group of muscles and tendons stabilizing the shoulder joint; caused by repetitive overhead motions; trauma; or age-related degeneration. Symptoms include shoulder pain; weakness; limited range of motion; and night pain. Partial or full-thickness tears can lead to chronic impingement or arthritis. Diagnosis uses MRI or ultrasound. Treatment starts with rest; physical therapy; anti-inflammatories; and corticosteroid injections; large or symptomatic tears often require arthroscopic repair to restore strength and prevent further degeneration.
chronic pain disorder,Chronic pain disorder is persistent pain lasting over three months that significantly impacts physical; emotional; and social functioning; often without ongoing tissue damage. It may stem from conditions like fibromyalgia; neuropathy; or prior injury and involves central nervous system sensitization. Symptoms include constant aching; burning; or stabbing pain accompanied by fatigue; depression; and sleep disturbance. Multidisciplinary management with medications (antidepressants; anticonvulsants); physical therapy; cognitive behavioral therapy; and lifestyle modifications helps improve quality of life and reduce reliance on opioids.
problem during pregnancy,Problem during pregnancy encompasses any complication threatening the mother or fetus; such as gestational diabetes; hypertension; preterm labor; or placental issues. Symptoms vary widely but may include abnormal bleeding; severe swelling; reduced fetal movement; or high blood pressure. Early detection through regular prenatal visits is critical to prevent miscarriage; stillbirth; or maternal morbidity. Management depends on the specific issue and may involve medications; bed rest; monitoring; or early delivery. Close obstetric care ensures the best outcomes for both mother and baby.
liver cancer,Liver cancer; primarily hepatocellular carcinoma; develops in the liver cells and is often linked to chronic hepatitis B/C; cirrhosis; alcohol abuse; or fatty liver disease. Early stages are asymptomatic; later symptoms include abdominal pain; weight loss; jaundice; fatigue; and swelling. It is aggressive with poor prognosis if advanced. Diagnosis involves imaging; blood tests (AFP); and biopsy. Treatment options include surgery; ablation; embolization; targeted therapy; immunotherapy; or liver transplant for eligible patients; emphasizing prevention through vaccination and lifestyle changes.
atelectasis,Atelectasis is the partial or complete collapse of a lung or lobe; preventing normal oxygen exchange; often due to blockage by mucus; tumor; or external pressure after surgery or prolonged bed rest. Symptoms include shortness of breath; rapid breathing; low oxygen levels; and chest pain. It increases risk of pneumonia. Diagnosis uses chest X-ray or CT. Treatment involves deep breathing exercises; incentive spirometry; chest physiotherapy; bronchoscopy to clear obstructions; or positive pressure ventilation to re-expand the lung tissue.
injury to the hand,Injury to the hand refers to any trauma damaging bones; tendons; ligaments; nerves; or skin of the hand; commonly from cuts; fractures; or crush injuries. It leads to pain; swelling; bleeding; numbness; or loss of function affecting fine motor skills and grip. Prompt evaluation prevents infection; stiffness; or permanent disability. Treatment may include wound care; splinting; surgery for tendon repair; or antibiotics. Rehabilitation with occupational therapy is essential for restoring dexterity and preventing long-term complications like contractures.
choledocholithiasis,Choledocholithiasis is the presence of gallstones in the common bile duct; causing obstruction that leads to severe right upper abdominal pain; jaundice; dark urine; pale stools; fever; and potential pancreatitis or cholangitis. It usually originates from gallbladder stones migrating into the duct. Diagnosis uses ultrasound; MRCP; or ERCP. Treatment involves endoscopic stone removal (ERCP with sphincterotomy); antibiotics if infected; and often cholecystectomy to prevent recurrence and complications like liver damage.
injury to the hip,Injury to the hip includes fractures; dislocations; or soft tissue damage from falls; sports; or accidents; particularly common in older adults with osteoporosis. Symptoms are severe groin pain; inability to bear weight; swelling; and limited motion. Hip fractures require urgent surgical fixation or replacement to restore mobility and prevent complications like blood clots or pneumonia from immobility. Rehabilitation focuses on strengthening and balance to reduce future fall risk and maintain independence.
cirrhosis,Cirrhosis is advanced scarring of the liver from long-term damage due to alcohol; hepatitis; or fatty liver disease; replacing healthy tissue with fibrous bands and nodules. It impairs liver function; causing fatigue; jaundice; ascites; easy bruising; confusion (encephalopathy); and increased infection risk. Portal hypertension leads to varices and bleeding. Diagnosis uses blood tests; imaging; and biopsy. Management includes treating the cause; medications for complications; nutrition; and liver transplant for end-stage disease to improve survival.
thoracic aortic aneurysm,Thoracic aortic aneurysm is a localized bulging of the aorta in the chest that can rupture or dissect; often due to hypertension; atherosclerosis; connective tissue disorders; or bicuspid aortic valve. Many are asymptomatic until large; when they cause chest or back pain; hoarseness; or cough. Regular imaging monitors growth. Treatment involves blood pressure control with beta-blockers; lifestyle changes; and surgical repair or endovascular stent grafting when the aneurysm reaches a critical size to prevent life-threatening rupture.
subdural hemorrhage,Subdural hemorrhage is bleeding between the brain and its outer covering (dura); usually from head trauma tearing bridging veins; common in elderly or alcoholics due to brain atrophy. It can be acute (rapid deterioration) or chronic (gradual headache; confusion; weakness). Symptoms include headache; drowsiness; seizures; or hemiparesis. Diagnosis by CT scan. Treatment ranges from observation for small stable bleeds to surgical evacuation (burr hole or craniotomy) to relieve pressure and prevent brain herniation or permanent neurological deficits.
diabetic retinopathy,Diabetic retinopathy is damage to the retinal blood vessels from prolonged high blood sugar; leading to leakage; swelling; abnormal vessel growth; and eventual vision loss or blindness. Early non-proliferative stage may be asymptomatic; proliferative stage causes floaters; blurred vision; or dark spots. It is a leading cause of blindness in working-age adults. Annual eye exams are vital. Treatment includes laser photocoagulation; anti-VEGF injections; or vitrectomy surgery to preserve or restore vision while strict glycemic and blood pressure control prevents progression.
fibromyalgia,Fibromyalgia is a chronic disorder characterized by widespread musculoskeletal pain; fatigue; sleep disturbances; memory issues; and mood problems without detectable inflammation or tissue damage. It involves abnormal central pain processing and is often triggered by stress; infection; or trauma. Tender points; stiffness; and co-existing conditions like IBS or migraines are common. Diagnosis is clinical after ruling out other causes. Multimodal treatment includes exercise; cognitive behavioral therapy; medications like duloxetine or pregabalin; and stress management to improve daily functioning.
ischemia of the bowel,Ischemia of the bowel; or mesenteric ischemia; occurs when blood flow to the intestines is reduced; causing sudden severe abdominal pain out of proportion to exam findings; bloody diarrhea; and vomiting. Acute cases from embolism or thrombosis are surgical emergencies; chronic from atherosclerosis leads to post-meal pain and weight loss. Untreated; it progresses to bowel necrosis; perforation; and sepsis. Diagnosis uses CT angiography. Treatment includes fluids; anticoagulants; angioplasty; or resection of dead bowel to restore circulation and save life.
fetal alcohol syndrome,Fetal alcohol syndrome is a permanent birth defect resulting from maternal alcohol consumption during pregnancy; causing growth deficiency; distinctive facial features (smooth philtrum; thin upper lip; small eyes); central nervous system abnormalities; and behavioral problems. Affected children have intellectual disability; learning difficulties; poor coordination; and increased risk of ADHD or mental health issues. No amount of alcohol is safe. Prevention through abstinence is key; early intervention with therapy; education; and support services helps maximize potential and manage lifelong challenges.
peritonitis,Peritonitis is inflammation of the peritoneum; the lining of the abdominal cavity; usually from bacterial infection after perforation of the intestine; appendix; or other organ. It causes sudden severe abdominal pain; fever; rigid abdomen; nausea; and shock. It is a life-threatening emergency requiring hospitalization. Diagnosis uses physical exam; blood tests; and imaging. Treatment involves broad-spectrum antibiotics; intravenous fluids; and urgent surgery to repair the source and wash out the abdomen to prevent sepsis and multi-organ failure.
injury to the abdomen,Injury to the abdomen can be blunt (from car accidents or falls) or penetrating (stab or gunshot wounds); damaging organs like liver; spleen; intestines; or blood vessels. Symptoms include abdominal pain; bruising; distension; vomiting blood; or shock. Internal bleeding or perforation can lead to peritonitis or hemorrhagic shock. Rapid assessment with FAST ultrasound or CT is essential. Management ranges from observation and supportive care to emergency laparotomy for repair or removal of damaged organs to stabilize the patient and prevent death.
acute pancreatitis,Acute pancreatitis is sudden inflammation of the pancreas; most often caused by gallstones or heavy alcohol use; leading to severe upper abdominal pain radiating to the back; nausea; vomiting; and fever. Enzymes autodigest the pancreas; causing swelling and potential systemic complications like organ failure. Diagnosis uses blood tests (elevated amylase/lipase) and imaging. Treatment is supportive with NPO status; IV fluids; pain control; and nutritional support; severe cases may need ICU care or procedures to remove gallstones or necrotic tissue.
thrombophlebitis,Thrombophlebitis is inflammation of a vein with clot formation; often superficial in the legs after injury or IV use; or deep (DVT). It causes pain; redness; swelling; and a palpable cord-like vein. Superficial cases are usually self-limited but can extend to deep veins. Deep vein involvement risks pulmonary embolism. Diagnosis by ultrasound. Treatment includes compression; anti-inflammatories; anticoagulants for DVT; and elevation to reduce swelling and prevent complications like chronic venous insufficiency.
asthma,Asthma is a chronic inflammatory airway disease causing recurrent episodes of wheezing; shortness of breath; chest tightness; and coughing; often triggered by allergens; exercise; cold air; or infections. It involves reversible bronchoconstriction and mucus production. Uncontrolled asthma can lead to severe attacks requiring hospitalization. Diagnosis uses spirometry and peak flow monitoring. Long-term control with inhaled corticosteroids; long-acting bronchodilators; and quick-relief albuterol; plus trigger avoidance and action plans; allows most patients to lead normal active lives.
foreign body in the vagina,Foreign body in the vagina is the presence of an object (toy; tampon; tissue) causing irritation; foul-smelling discharge; bleeding; pain; or infection. In children it may be accidental; in adults often retained tampon or contraceptive device. Prolonged retention can lead to toxic shock syndrome or fistula. Diagnosis by pelvic exam. Treatment is gentle removal; antibiotics if infected; and education on hygiene to prevent recurrence and complications like scarring.
restless leg syndrome,Restless leg syndrome (RLS) is a neurological disorder causing an irresistible urge to move the legs; accompanied by uncomfortable sensations like crawling or tingling; worse at rest or evening; and relieved by movement. It disrupts sleep and quality of life; often linked to iron deficiency; pregnancy; or kidney disease. Diagnosis is clinical. Treatment includes lifestyle changes; iron supplementation if deficient; and medications like dopamine agonists (pramipexole) or gabapentin to reduce symptoms and improve sleep.
emphysema,Emphysema is a progressive lung disease; part of COPD; where destruction of alveolar walls leads to enlarged air spaces; reduced gas exchange; and trapped air. Primarily caused by long-term cigarette smoking or alpha-1 antitrypsin deficiency. Symptoms include severe shortness of breath; chronic cough; barrel chest; and fatigue. It is irreversible but manageable. Treatment focuses on smoking cessation; bronchodilators; pulmonary rehabilitation; oxygen therapy; and in advanced cases lung volume reduction surgery or transplant to improve breathing and slow decline.
cysticercosis,Cysticercosis is a parasitic infection caused by the larval stage of the pork tapeworm Taenia solium; acquired by ingesting eggs in contaminated food or water. Larvae form cysts in muscles; brain (neurocysticercosis); or eyes; leading to seizures; headaches; hydrocephalus; or vision loss. It is a leading cause of acquired epilepsy in endemic areas. Diagnosis uses imaging and serology. Treatment with antiparasitic drugs (albendazole); steroids to reduce inflammation; and antiepileptics controls symptoms and prevents complications like stroke or blindness.
induced abortion,Induced abortion is the deliberate termination of a pregnancy before the fetus can survive outside the uterus; performed for medical; personal; or social reasons using medications (mifepristone + misoprostol) or surgical procedures (aspiration or D&E). It is safe when done by trained providers under legal conditions; with low complication rates. Post-procedure care includes monitoring for bleeding or infection and contraception counseling. Emotional support may be needed. Legal and access issues vary globally; emphasizing the importance of safe; regulated services to protect women's health.
teething syndrome,Teething syndrome occurs in infants as primary teeth erupt through the gums; causing irritability; excessive drooling; gum swelling; mild fever; and sleep disturbance. It does not cause high fever or severe illness; other causes should be ruled out. Symptoms typically begin around 6 months and continue until age 2-3. Management includes gentle gum massage; chilled teething rings; and over-the-counter pain relief like acetaminophen or ibuprofen. Good oral hygiene from the first tooth prevents future dental issues.
infectious gastroenteritis,Infectious gastroenteritis; commonly called stomach flu; is inflammation of the stomach and intestines due to viruses (norovirus; rotavirus); bacteria; or parasites from contaminated food or water. It causes watery diarrhea; vomiting; abdominal cramps; fever; and dehydration. Most cases are self-limited but can be severe in infants; elderly; or immunocompromised. Treatment focuses on oral rehydration solutions; rest; and probiotics; antibiotics only for specific bacterial causes. Prevention through hand hygiene; safe food practices; and vaccination (rotavirus) reduces spread.
acute sinusitis,Acute sinusitis is inflammation of the sinus cavities lasting up to 4 weeks; usually following a viral upper respiratory infection; causing facial pain/pressure; nasal congestion; thick discharge; reduced smell; cough; and fever. Bacterial superinfection occurs in some cases. Diagnosis is clinical or with imaging if complications suspected. Most resolve with supportive care (saline irrigation; decongestants; pain relief); antibiotics are reserved for severe or persistent bacterial cases to avoid resistance. Untreated; it can lead to orbital or intracranial spread.
substance-related mental disorder,Substance-related mental disorder includes conditions like intoxication; withdrawal; or substance-induced psychosis; depression; or anxiety triggered by alcohol; opioids; stimulants; or other drugs. Symptoms range from altered consciousness and hallucinations to mood swings and cognitive impairment. Chronic use leads to dependence and long-term brain changes. Diagnosis follows DSM criteria after ruling out primary psychiatric illness. Treatment involves detoxification; counseling; medications for withdrawal (e.g.; benzodiazepines for alcohol); and long-term rehabilitation to achieve and maintain sobriety.
postpartum depression,Postpartum depression is a serious mood disorder occurring within the first year after childbirth; characterized by persistent sadness; anxiety; irritability; sleep/appetite changes; guilt; and in severe cases thoughts of harming self or baby. Hormonal shifts; sleep deprivation; and psychosocial factors contribute. It affects up to 15% of mothers and can impair bonding and infant development. Screening is routine. Treatment with antidepressants (SSRIs safe in breastfeeding); psychotherapy; and support groups promotes recovery and family well-being.
coronary atherosclerosis,Coronary atherosclerosis is the buildup of plaque in the coronary arteries supplying the heart; narrowing them and reducing blood flow; leading to angina; heart attack; or sudden death. Risk factors include smoking; hypertension; high cholesterol; diabetes; and family history. Symptoms may be absent until advanced. Diagnosis uses stress testing; angiography; or CT calcium scoring. Management includes lifestyle changes; statins; antiplatelets; beta-blockers; and procedures like stenting or bypass surgery to prevent myocardial infarction and improve survival.
spondylitis,Spondylitis; particularly ankylosing spondylitis; is a chronic inflammatory arthritis primarily affecting the spine and sacroiliac joints; causing progressive stiffness; pain; and potential fusion of vertebrae. It often starts in young adults with morning stiffness improving with activity. Extra-articular features include uveitis and enthesitis. Genetic factor HLA-B27 is strongly associated. Early diagnosis with MRI and blood tests allows treatment with NSAIDs; biologics (TNF inhibitors); exercise; and physical therapy to maintain posture and mobility.
pituitary adenoma,Pituitary adenoma is a usually benign tumor of the pituitary gland that can be hormone-secreting (prolactinoma; growth hormone) or non-functioning; causing hormonal imbalances or mass effects like headaches and vision loss from optic chiasm compression. Symptoms depend on the type—galactorrhea; acromegaly; Cushing's; or hypopituitarism. Diagnosis uses MRI and hormone assays. Treatment options include medications (cabergoline for prolactinomas); transsphenoidal surgery; or radiation to normalize hormones and preserve vision.
uterine fibroids,Uterine fibroids are non-cancerous growths in the uterus composed of smooth muscle and connective tissue; common in reproductive-age women. They can cause heavy menstrual bleeding; pelvic pain; pressure; infertility; or pregnancy complications depending on size and location. Many are asymptomatic. Diagnosis by ultrasound or MRI. Management ranges from watchful waiting and medications (tranexamic acid; GnRH agonists) to minimally invasive procedures like embolization or myomectomy; or hysterectomy for severe cases.
idiopathic nonmenstrual bleeding,Idiopathic nonmenstrual bleeding refers to unexplained vaginal bleeding outside of normal menses; often due to hormonal imbalance; polyps; or endometrial issues without identifiable cause after evaluation. It can be spotting or heavy and may signal underlying problems like cancer in older women. Thorough workup with ultrasound; biopsy; or hysteroscopy is required. Treatment depends on findings but may include hormonal therapy or D&C to control bleeding and rule out malignancy.
chalazion,Chalazion is a painless; chronic lump in the eyelid caused by blockage and inflammation of a meibomian oil gland; leading to a localized swelling that may distort vision if large. Unlike stye; it is not infected. Warm compresses and massage often resolve small ones; persistent cases need steroid injection or surgical drainage. Good eyelid hygiene prevents recurrence. It is benign but can be confused with other eyelid tumors requiring evaluation.
ovarian torsion,Ovarian torsion is the twisting of the ovary on its ligamentous supports; cutting off blood supply and causing sudden severe pelvic pain; nausea; and vomiting. It is a surgical emergency; most common in women with ovarian cysts or during pregnancy. Delayed diagnosis can lead to ovarian necrosis and loss. Ultrasound with Doppler helps confirm reduced blood flow. Laparoscopic detorsion and cystectomy; or oophorectomy if non-viable; restores blood flow and preserves fertility when possible.
retinopathy due to high blood pressure,Retinopathy due to high blood pressure (hypertensive retinopathy) damages retinal blood vessels from chronic or severe hypertension; causing arteriolar narrowing; hemorrhages; exudates; and optic disc swelling. It is a marker of systemic vascular damage and can lead to vision loss. Early stages are asymptomatic; advanced causes blurred vision. Control of blood pressure with medications is the primary treatment; along with regular eye exams to monitor and prevent progression to irreversible damage.
vaginal yeast infection,Vaginal yeast infection; usually caused by Candida albicans; results from overgrowth of yeast due to antibiotics; diabetes; pregnancy; or immunosuppression. Symptoms include thick white discharge; intense itching; redness; and soreness. It is not sexually transmitted but can be uncomfortable. Diagnosis by microscopic exam or culture. Treatment with antifungal creams; suppositories; or oral fluconazole provides rapid relief; probiotics and avoiding irritants help prevent recurrence.
mastoiditis,Mastoiditis is a serious bacterial infection of the mastoid bone behind the ear; usually complicating untreated acute otitis media. It causes severe ear pain; swelling behind the ear; fever; headache; and possible drainage. Untreated; it can lead to hearing loss; meningitis; or brain abscess. Diagnosis uses CT scan. Treatment requires intravenous antibiotics and often surgical mastoidectomy to drain pus and remove infected bone; preventing life-threatening intracranial spread.
lung contusion,Lung contusion is bruising of the lung tissue from blunt chest trauma; causing bleeding into alveoli and impaired gas exchange. Symptoms include shortness of breath; chest pain; cough with bloody sputum; and low oxygen levels. It can worsen over hours and lead to pneumonia or ARDS. Diagnosis by chest X-ray or CT. Management is supportive with oxygen; pain control; fluid restriction; and mechanical ventilation if severe; most resolve in 7-10 days with careful monitoring to avoid complications.
hypertrophic obstructive cardiomyopathy (hocm),Hypertrophic obstructive cardiomyopathy (HOCM) is a genetic heart muscle disease where the septum thickens; obstructing left ventricular outflow and causing arrhythmias. Symptoms include chest pain; shortness of breath; fainting; and sudden cardiac death risk; especially during exercise. Diagnosis uses echocardiography. Treatment with beta-blockers or verapamil reduces obstruction; severe cases need surgical myectomy; alcohol septal ablation; or ICD implantation for prevention of fatal arrhythmias.
ingrown toe nail,Ingrown toe nail occurs when the nail edge grows into the surrounding skin; causing pain; redness; swelling; and possible infection; commonly on the big toe from improper trimming or tight shoes. Chronic cases lead to granulation tissue. Treatment starts with soaking; proper nail care; and cotton wedge placement; severe or infected cases require partial nail removal under local anesthesia. Preventive footwear and trimming techniques reduce recurrence.
